date,nav,fund,proj_id
2025-09-10,13.8599,K-US500X,M0257_2564
2025-09-11,13.9664,K-US500X,M0257_2564
2025-09-12,13.9558,K-US500X,M0257_2564
2025-09-15,14.0273,K-US500X,M0257_2564
2025-09-16,13.9963,K-US500X,M0257_2564
2025-09-17,13.9816,K-US500X,M0257_2564
2025-09-18,14.0456,K-US500X,M0257_2564
2025-09-19,14.1084,K-US500X,M0257_2564
2025-09-23,14.0958,K-US500X,M0257_2564
2025-09-24,14.0562,K-US500X,M0257_2564
2025-09-25,14.0,K-US500X,M0257_2564
2025-09-26,14.077,K-US500X,M0257_2564
2025-09-29,14.1162,K-US500X,M0257_2564
2025-09-30,14.1706,K-US500X,M0257_2564
2025-10-01,14.2196,K-US500X,M0257_2564
2025-10-02,14.2334,K-US500X,M0257_2564
2025-10-03,14.2308,K-US500X,M0257_2564
2025-10-06,14.2802,K-US500X,M0257_2564
2025-10-07,14.2329,K-US500X,M0257_2564
2025-10-08,14.3082,K-US500X,M0257_2564
2025-10-09,14.2713,K-US500X,M0257_2564
2025-10-10,13.9015,K-US500X,M0257_2564
2025-10-14,14.0845,K-US500X,M0257_2564
2025-10-15,14.1341,K-US500X,M0257_2564
2025-10-16,14.0447,K-US500X,M0257_2564
2025-10-17,14.1213,K-US500X,M0257_2564
2025-10-20,14.2624,K-US500X,M0257_2564
2025-10-21,14.258,K-US500X,M0257_2564
2025-10-22,14.1935,K-US500X,M0257_2564
2025-10-24,14.3814,K-US500X,M0257_2564
2025-10-27,14.5405,K-US500X,M0257_2564
2025-10-28,14.567,K-US500X,M0257_2564
2025-10-29,14.567,K-US500X,M0257_2564
2025-10-30,14.4204,K-US500X,M0257_2564
2025-10-31,14.4596,K-US500X,M0257_2564
2025-11-03,14.4888,K-US500X,M0257_2564
2025-11-04,14.3295,K-US500X,M0257_2564
2025-11-05,14.3707,K-US500X,M0257_2564
2025-11-06,14.2133,K-US500X,M0257_2564
2025-11-07,14.2261,K-US500X,M0257_2564
2025-11-10,14.4354,K-US500X,M0257_2564
2025-11-12,14.477,K-US500X,M0257_2564
2025-11-13,14.2404,K-US500X,M0257_2564
2025-11-14,14.2392,K-US500X,M0257_2564
2025-11-17,14.11,K-US500X,M0257_2564
2025-11-18,13.9969,K-US500X,M0257_2564
2025-11-19,14.0473,K-US500X,M0257_2564
2025-11-20,13.8372,K-US500X,M0257_2564
2025-11-21,13.9699,K-US500X,M0257_2564
2025-11-24,14.1685,K-US500X,M0257_2564
2025-11-25,14.2888,K-US500X,M0257_2564
2025-11-26,14.3772,K-US500X,M0257_2564
2025-11-28,14.4491,K-US500X,M0257_2564
2025-12-01,14.3704,K-US500X,M0257_2564
2025-12-02,14.394,K-US500X,M0257_2564
2025-12-03,14.4387,K-US500X,M0257_2564
2025-12-04,14.4527,K-US500X,M0257_2564
2025-12-08,14.4218,K-US500X,M0257_2564
2025-12-09,14.4076,K-US500X,M0257_2564
2025-12-11,14.5243,K-US500X,M0257_2564
2025-12-12,14.3676,K-US500X,M0257_2564
2025-12-15,14.34,K-US500X,M0257_2564
2025-12-16,14.2975,K-US500X,M0257_2564
2025-12-17,14.1525,K-US500X,M0257_2564
2025-12-18,14.2526,K-US500X,M0257_2564
2025-12-19,14.3694,K-US500X,M0257_2564
2025-12-22,14.4409,K-US500X,M0257_2564
2025-12-23,14.4993,K-US500X,M0257_2564
2025-12-24,14.5396,K-US500X,M0257_2564
2025-12-26,14.5338,K-US500X,M0257_2564
2025-12-29,14.4971,K-US500X,M0257_2564
2025-12-30,14.4835,K-US500X,M0257_2564
2026-01-05,14.4849,K-US500X,M0257_2564
2026-01-06,14.5577,K-US500X,M0257_2564
2026-01-07,14.5159,K-US500X,M0257_2564
2026-01-08,14.5231,K-US500X,M0257_2564
2026-01-09,14.6122,K-US500X,M0257_2564
2026-01-12,14.6252,K-US500X,M0257_2564
2026-01-13,14.6113,K-US500X,M0257_2564
2026-01-14,14.5388,K-US500X,M0257_2564
2026-01-15,14.5721,K-US500X,M0257_2564
2026-01-16,14.5563,K-US500X,M0257_2564
2026-01-20,14.2569,K-US500X,M0257_2564
2026-01-21,14.4116,K-US500X,M0257_2564
2026-01-22,14.4954,K-US500X,M0257_2564
2026-01-23,14.4938,K-US500X,M0257_2564
2026-01-26,14.5581,K-US500X,M0257_2564
2026-01-27,14.6114,K-US500X,M0257_2564
2026-01-28,14.6064,K-US500X,M0257_2564
2026-01-29,14.58,K-US500X,M0257_2564
2026-01-30,14.5475,K-US500X,M0257_2564
2026-02-02,14.6213,K-US500X,M0257_2564
2026-02-03,14.497,K-US500X,M0257_2564
2026-02-04,14.4357,K-US500X,M0257_2564
2026-02-05,14.2624,K-US500X,M0257_2564
2026-02-06,14.5241,K-US500X,M0257_2564
2026-02-09,14.5684,K-US500X,M0257_2564
2026-02-10,14.5244,K-US500X,M0257_2564
2026-02-11,14.5177,K-US500X,M0257_2564
2026-02-12,14.3024,K-US500X,M0257_2564
2026-02-13,14.3114,K-US500X,M0257_2564
2026-02-17,14.3342,K-US500X,M0257_2564
2021-02-01,24.6481,K-USXNDQ,M0369_2555
2021-02-02,25.0327,K-USXNDQ,M0369_2555
2021-02-03,24.9425,K-USXNDQ,M0369_2555
2021-02-04,25.2249,K-USXNDQ,M0369_2555
2021-02-05,25.3111,K-USXNDQ,M0369_2555
2021-02-08,25.4689,K-USXNDQ,M0369_2555
2021-02-09,25.4549,K-USXNDQ,M0369_2555
2021-02-10,25.391,K-USXNDQ,M0369_2555
2021-02-11,25.5223,K-USXNDQ,M0369_2555
2021-02-16,25.5906,K-USXNDQ,M0369_2555
2021-02-17,25.4822,K-USXNDQ,M0369_2555
2021-02-18,25.3766,K-USXNDQ,M0369_2555
2021-02-19,25.2673,K-USXNDQ,M0369_2555
2021-02-22,24.6428,K-USXNDQ,M0369_2555
2021-02-23,24.5763,K-USXNDQ,M0369_2555
2021-02-24,24.7747,K-USXNDQ,M0369_2555
2021-02-25,23.9525,K-USXNDQ,M0369_2555
2021-03-01,24.7527,K-USXNDQ,M0369_2555
2021-03-02,24.3679,K-USXNDQ,M0369_2555
2021-03-03,23.677,K-USXNDQ,M0369_2555
2021-03-04,23.3111,K-USXNDQ,M0369_2555
2021-03-05,23.6527,K-USXNDQ,M0369_2555
2021-03-08,23.0249,K-USXNDQ,M0369_2555
2021-03-09,23.9099,K-USXNDQ,M0369_2555
2021-03-10,23.8413,K-USXNDQ,M0369_2555
